relative_path,phase,status,translation_block_count,string_dialogue_count,source_word_estimate,count_reference_language,present_in_languages,structure_variance,source_upstream_baseline_sha,notes
code/scenes/it_office/cw/sm1cs-cw003i.rpy,Phase 6,not started,2,2,14,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw004.rpy,Phase 6,not started,330,339,2308,turkish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw004i.rpy,Phase 6,not started,8,8,60,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw005.rpy,Phase 6,not started,422,435,2586,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw006.rpy,Phase 6,not started,291,307,2167,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw006_onramp.rpy,Phase 6,not started,6,6,46,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns-renovation.rpy,Phase 6,not started,65,65,500,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns001.rpy,Phase 6,not started,99,101,1274,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns002.rpy,Phase 6,not started,136,138,1199,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns003.rpy,Phase 6,not started,177,183,1687,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns004.rpy,Phase 6,not started,160,164,1893,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns005.rpy,Phase 6,not started,192,194,1421,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns006.rpy,Phase 6,not started,124,125,1071,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns007.rpy,Phase 6,not started,332,339,2456,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns007i.rpy,Phase 6,not started,19,19,173,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns008.rpy,Phase 6,not started,95,95,959,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns009.rpy,Phase 6,not started,223,230,1712,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns010.rpy,Phase 6,not started,137,137,1197,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns010i.rpy,Phase 6,not started,47,47,584,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ns/sm1cs-ns011.rpy,Phase 6,not started,191,193,1332,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
