relative_path,reference_language,translation_block_count,string_dialogue_count,source_fingerprint_sha256
code/live_chat/live_chat_ui.rpy,spanish,2,27,31a90ea3475e0ca4881338d269bb882fbdb56ebd06930bddbe230151d97445e6
code/minigames/nonogram/nonogram_game.rpy,deutsch,1,5,621b4a2ab55518314baad43f0b01abcfc17335caaff3ceaaf7765fb93605340b
code/minigames/nonogram/nonogram_tutorial.rpy,deutsch,1,5,676d9c3a54de1157b1943d8cce1333b0bce8f0b44132aee184182047db59475d
code/minigames/simon_says/simon_says.rpy,french,1,1,ecd1c781f11a8af022e87624cc693b3525cfdc9111b6420dd813be5c19d340ca
code/minigames/simon_says/simon_says_game.rpy,deutsch,3,7,136a5174b42318204f3d72f86e739e4032b0372bb062bb118e42d98653743adc
code/minigames/wurst_delivery/wurst_delivery_class.rpy,deutsch,2,2,0ad628a73b087efa843491af5078db3e77e3a68cf3df5a5e53cb9b2f46d5e470
code/minigames/wurst_delivery/wurst_delivery_game.rpy,deutsch,1,1,575cc56e39eb7b046ba21c0cfc5db8c99210f8d0157370f00b0e3c126a05678f
code/minigames/wurst_delivery/wurst_delivery_labels.rpy,deutsch,2,2,52b5387d3bf0a9a2336db5d18d79d6cb5d5e751402c3dcb6adfc2aaf3c08dd0f
code/renpy/config/options.rpy,deutsch,2,2,c12fc4129c509e541863c46a80eb4ce34826786d5875e519ed50a5208f3e588a
code/renpy/labels/actions.rpy,deutsch,1,30,358dc3ffd1570e2116465323017d79b5f5410f972fc53fa765af797564cf1805
code/renpy/labels/labels.rpy,deutsch,2,2,af33393c963881b5950896e80618044cd239106769c6c8ca75ffe62e8f62e62c
code/renpy/labels/vn_mode.rpy,spanish,2,2,b2a7e3ccaec7730616e6a528fa33ffb0b2feaf8481a8e34b398f6c1356efa909
code/renpy/screens/character.rpy,deutsch,2,5,5167cb2e11387af259fd6ad8df98a1c14c0177e8c654d17150ab277d5dc1c9f5
code/renpy/screens/difficulity.rpy,spanish,3,14,6fbf0a4eff29532388f3c0a97a1c7816e52e21ffd0c032ab09a4e91599b96599
code/renpy/screens/faction_it.rpy,deutsch,2,8,84cfacfe2d60346ad2a26f301badaf415cf720ffec0d13e7df561c56dfb395c9
code/renpy/screens/faction_th.rpy,deutsch,2,6,fb5373a3007f5d30457d0af0dc4ab14a87f909ac4ab4409eb9ef6d93f0f19e36
code/renpy/screens/gallery.rpy,deutsch,1,12,3b61ec7eb4936950a36b591ef47d52eeb83acc9b5bcc95f53309be4839dce5f5
code/renpy/screens/game_menus.rpy,french,1,16,e449cce4a9ca3e9f14fa7eb53623a29d3da1b04ad026135be0cec36a46ffcd31
code/renpy/screens/info.rpy,deutsch,2,12,202cef3c5de4e11b90888a72e25605dc6b057635d6018f116965e3cdc0e61ee8
